Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
-31,20,425,393,500,29.96,0.000%,13.62398,31.43,8.44,2362.1
-42,20,357,330,415,27.96,0.000%,15.16300,37.88,10.22,2557.8
,40,571,323,858,215.02,0.000%,18.11594,64.37,18.81,3638.6
-124,20,358,323,439,31.25,0.000%,14.64129,33.70,11.47,2357.2
TOTAL,100,456,323,858,168.27,0.000%,45.28986,128.74,37.61,2910.9
