Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
-26,30,461,391,639,68.48,0.000%,20.51984,47.34,12.84,2362.4
,90,408,319,639,75.89,0.000%,41.07713,95.00,25.61,2368.3
-35,30,378,323,600,57.74,0.000%,21.02313,48.55,13.04,2364.8
-73,30,384,319,552,70.11,0.000%,21.61383,50.18,13.49,2377.6
TOTAL,180,408,319,639,75.89,0.000%,82.15427,190.00,51.21,2368.3
