Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
-26,30,461,440,563,609,639,391,639,0.000%,20.51984,47.34,12.84
,90,408,389,510,552,611,319,639,0.000%,41.07713,95.00,25.61
-35,30,378,361,434,471,600,323,600,0.000%,21.02313,48.55,13.04
-73,30,384,358,510,512,552,319,552,0.000%,21.61383,50.18,13.49
TOTAL,180,408,389,510,563,611,319,639,0.000%,82.15427,190.00,51.21
