Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
-31,20,425,412,456,477,500,393,500,0.000%,13.62398,31.43,8.44
-42,20,357,348,411,414,415,330,415,0.000%,15.16300,37.88,10.22
,40,571,439,821,835,858,323,858,0.000%,18.11594,64.37,18.81
-124,20,358,350,408,428,439,323,439,0.000%,14.64129,33.70,11.47
TOTAL,100,456,376,783,812,836,323,858,0.000%,45.28986,128.74,37.61
